date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2013-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.35,1.292
2013-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.49,2.4681
2013-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.2,1.2081
2013-05-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.25,0.1395
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.31,4.0165
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,14.1307
2013-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.29,1.2597
2013-05-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.35,20.5217
2013-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.92,21.9329
2013-05-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.46,1.9007
2013-05-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.02,7.7034
2013-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.56,1.9562
2013-05-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.41,5.7218
2013-05-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.21,3.412
2013-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,5.89,3.2373
2013-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.17,3.3915
2013-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.26,1.793
2013-05-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.39,1.3122
2013-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.25,1.2357
2013-05-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.47,0.8066
2013-05-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.14,4.4737
2013-05-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.6365
2013-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.7,0.9348
2013-06-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.81,1.4813
2013-06-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.39,1.26
2013-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.37,1.2492
2013-06-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.27,0.141
2013-06-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.78,7.2569
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.72,3.5402
2013-06-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.27,1.1965
2013-06-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.65,19.8356
2013-06-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.02,16.3386
2013-06-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.76,20.9442
2013-06-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.4,0.7356
2013-06-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.0,7.375
2013-06-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.44,1.813
2013-06-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.42,5.489
2013-06-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.06,3.1912
2013-06-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.44,6.5523
2013-06-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.28,1.729
2013-06-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.38,1.2548
2013-06-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.97,2.0932
2013-06-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.26,0.6655
2013-06-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,7.77,4.0932
2013-06-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.6097
2013-06-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.69,0.8883
2013-11-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.4,1.183
2013-11-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.36,1.1643
2013-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.79,2.3579
2013-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.27,1.1168
2013-11-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1752
2013-11-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,12.49,6.1518
2013-11-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.21,3.0598
2013-11-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,12.6724
2013-11-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.87,12.7435
2013-11-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.47,1.2152
2013-11-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.14,18.7891
2013-11-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.74,15.1451
2013-11-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,40.03,19.7178
2013-11-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.19,6.9912
2013-11-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.67,1.8091
2013-11-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.72,5.2797
2013-11-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,5.95,2.932
2013-11-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.64,2.78
2013-11-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.73,6.2721
2013-11-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.6,1.7729
2013-11-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.83,0.9033
2013-11-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,2.3,1.1352
2013-11-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.86,0.917
2013-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.3,4.0877
2013-11-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.97,0.478
2013-11-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,5.95,2.932
2013-11-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.05,1.0091
2013-12-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.91,1.4042
2013-12-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.44,1.1739
2013-12-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.4,1.155
2013-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.34,1.128
2013-12-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1751
2013-12-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.47,3.1153
2013-12-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.97,12.5098
2013-12-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.49,1.1986
2013-12-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.03,18.3224
2013-12-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.91,14.8894
2013-12-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,40.11,19.3245
2013-12-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.7081
2013-12-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.65,1.756
2013-12-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.4,6.9365
2013-12-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.91,5.2568
2013-12-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.8,2.7939
2013-12-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.66,1.7653
2013-12-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.85,0.8928
2013-12-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.97,1.9102
2013-12-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.12,0.5386
2013-12-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.79,0.862
2013-12-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.36,1.1353
2013-12-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.97,0.469
2013-12-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.63,0.7864
2014-01-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.0,1.3682
2014-01-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.47,1.1266
2014-01-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,5.51,2.5159
2014-01-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.37,0.1712
2014-01-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.89,6.3442
2014-01-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.13,3.2539
2014-01-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.94,11.8439
2014-01-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.5,1.1401
2014-01-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.54,17.5983
2014-01-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.26,14.2743
2014-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.65,1.6654
2014-01-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.21,6.9439
2014-01-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.75,1.7117
2014-01-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.06,2.7665
2014-01-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,9.54,4.357
2014-01-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.71,5.8048
2014-01-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.92,0.8768
2014-01-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.16,0.5311
2014-01-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.87,0.8547
2014-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.78,4.0106
2014-01-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.01,0.46
2014-01-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.51,0.6914
2014-01-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.34,1.0668
2014-02-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.06,1.3549
2014-02-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.57,1.1378
2014-02-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.55,1.1285
2014-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,5.81,2.5759
2014-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.44,1.0791
2014-02-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.37,0.1656
2014-02-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.46,6.4063
2014-02-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.53,3.3361
2014-02-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.67,11.8135
2014-02-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,26.31,11.6543
2014-02-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.54,1.1263
2014-02-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.21,13.8278
2014-02-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.49,0.6595
2014-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.68,1.6296
2014-02-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.27,6.7665
2014-02-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.73,1.6542
2014-02-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,11.84,5.246
2014-02-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.06,4.4569
2014-02-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.89,2.6088
2014-02-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.75,5.6493
2014-02-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.14,1.8344
2014-02-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.02,0.8945
2014-02-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,4.49,1.9884
2014-02-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.08,0.4778
2014-02-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.53,0.6769
2014-02-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.76,1.2237
2014-02-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.78,3.8911
2014-02-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.99,0.4367
2014-02-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.54,0.6811
2014-02-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.77,0.7847
2014-03-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.06,1.3809
2014-03-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.59,1.1694
2014-03-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.0,2.7098
2014-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.47,1.1164
2014-03-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1643
2014-03-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.85,6.7067
2014-03-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.73,3.4922
2014-03-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.89,12.1437
2014-03-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,26.43,11.9322
2014-03-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.57,1.1583
2014-03-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.54,17.3996
2014-03-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.11,14.0466
2014-03-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.42,6.9607
2014-03-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.71,1.6774
2014-03-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,12.17,5.4962
2014-03-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.25,4.6266
2014-03-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.91,2.6664
2014-03-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.78,5.7704
2014-03-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.28,1.9338
2014-03-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.18,0.9841
2014-03-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.3,2.3909
2014-03-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.97,0.89
2014-03-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.58,1.1667
2014-03-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,9.54,4.3057
2014-03-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.07,0.4846
2014-03-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.58,0.7157
2014-03-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.01,0.9098
2014-05-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.12,1.4858
2014-05-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.61,1.2437
2014-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.66,1.2687
2014-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.54,1.211
2014-05-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.34,0.1619
2014-05-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.51,6.9109
2014-05-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.64,3.637
2014-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.77,12.7485
2014-05-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,27.01,12.8629
2014-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,38.91,18.5303
2014-05-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.7022
2014-05-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.71,1.765
2014-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.8,1.8084
2014-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.17,4.8439
2014-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.92,2.8181
2014-05-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.81,6.1016
2014-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.41,1.1488
2014-05-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.8,2.761
2014-05-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.96,0.935
2014-05-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.15,0.5484
2014-05-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.69,0.8035
2014-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.18,1.0372
2014-06-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.21,1.5196
2014-06-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.63,1.2474
2014-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.67,1.2638
2014-06-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.6,3.1298
2014-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.6,1.2339
2014-06-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1683
2014-06-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,15.67,7.4285
2014-06-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.14,3.3857
2014-06-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.45,18.2262
2014-06-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.07,14.7302
2014-06-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.59,18.7662
2014-06-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.49,0.7073
2014-06-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.79,1.7971
2014-06-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,16.08,7.6229
2014-06-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,13.03,6.1781
2014-06-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.18,2.9275
2014-06-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.88,2.7886
2014-06-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.31,2.0413
2014-06-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.24,2.4835
2014-06-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,7.46,3.5389
2014-07-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.24,1.5292
2014-07-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.61,1.2302
2014-07-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.67,1.2575
2014-07-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.65,3.1369
2014-07-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.6,1.2263
2014-07-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.33,0.1563
2014-07-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,15.58,7.3511
2014-07-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.49,3.5349
2014-07-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.75,12.6181
2014-07-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.59,1.2227
2014-07-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.37,18.0979
2014-07-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.92,1.8501
2014-07-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,16.56,7.8123
2014-07-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.88,1.8319
2014-07-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,13.15,6.2021
2014-07-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,13.22,6.235
2014-07-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.3,2.0264
2014-07-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.9,1.3657
2014-07-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.03,2.3744
2014-07-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.3,0.6119
2014-07-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.08,0.5083
2014-07-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.42,0.6706
2014-08-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.64,1.2172
2014-08-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.68,3.0786
2014-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.62,1.2067
2014-08-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1671
2014-08-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,15.43,7.1093
2014-08-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,7.57,3.4895
2014-08-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.96,12.4247
2014-08-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,29.46,13.5738
2014-08-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.67,1.229
2014-08-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.48,14.5065
2014-08-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.71,18.3
2014-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.99,1.8402
2014-08-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,16.89,7.7813
2014-08-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.95,1.8221
2014-08-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,13.22,6.0938
2014-08-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.13,2.8239
2014-08-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,9.84,4.5328
2014-08-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.87,2.7034
2014-08-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.53,2.0861
2014-08-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.84,1.3085
