id,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
us6000jm2v,5.0,"10 km SSE of Yesilyurt, Turkey",1675716804303,1675788330040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm2v,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm2v.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,385,us,6000jm2v,",us6000jm2v,",",us,",",origin,phase-data,",100,1.340,0.830,55.000,mb,earthquake,"M 5.0 - 10 km SSE of Yesilyurt, Turkey"
us6000jm2t,4.9,"6 km SE of G├╢ksun, Turkey",1675716240097,1675788095040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm2t,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm2t.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,369,us,6000jm2t,",us6000jm2t,",",us,",",origin,phase-data,",66,0.963,0.620,44.000,mb,earthquake,"M 4.9 - 6 km SE of G├╢ksun, Turkey"
us6000jm2r,5.3,"30 km WNW of Gaziantep, Turkey",1675715871608,1675788019276,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm2r,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm2r.geojson,2,3.400000000000000,0.000000000000000,,reviewed,0,433,us,6000jm2r,",us6000jm2r,",",us,",",dyfi,moment-tensor,origin,phase-data,",125,0.101,0.740,28.000,mww,earthquake,"M 5.3 - 30 km WNW of Gaziantep, Turkey"
us6000jm2k,4.2,"3 km SSE of G├╢ksun, Turkey",1675714451915,1675783905040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm2k,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm2k.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,271,us,6000jm2k,",us6000jm2k,",",us,",",origin,phase-data,",37,0.988,0.710,75.000,mb,earthquake,"M 4.2 - 3 km SSE of G├╢ksun, Turkey"
us6000jm29,4.7,"15 km WSW of G├╢ksun, Turkey",1675713934741,1675783484040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm29,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm29.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,340,us,6000jm29,",us6000jm29,",",us,",",origin,phase-data,",73,0.938,0.720,38.000,mb,earthquake,"M 4.7 - 15 km WSW of G├╢ksun, Turkey"
us6000jm28,4.3,"15 km NE of G├╢ksun, Turkey",1675712980124,1675782032040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm28,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm28.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,284,us,6000jm28,",us6000jm28,",",us,",",origin,phase-data,",34,0.960,0.630,67.000,mb,earthquake,"M 4.3 - 15 km NE of G├╢ksun, Turkey"
us6000jm2a,4.6,"5 km W of ├çelikhan, Turkey",1675712416073,1675781996040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm2a,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm2a.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,326,us,6000jm2a,",us6000jm2a,",",us,",",origin,phase-data,",89,1.150,0.700,54.000,mb,earthquake,"M 4.6 - 5 km W of ├çelikhan, Turkey"
us6000jm21,4.3,"12 km W of Pazarcik, Turkey",1675712150692,1675723141069,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm21,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm21.geojson,1,4.800000000000000,0.000000000000000,,reviewed,0,285,us,6000jm21,",us6000jm21,",",us,",",dyfi,origin,phase-data,",43,0.301,0.690,59.000,mb,earthquake,"M 4.3 - 12 km W of Pazarcik, Turkey"
us6000jm1z,4.4,"12 km E of Ekin├╢z├╝, Turkey",1675711859956,1675722920040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm1z,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm1z.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jm1z,",us6000jm1z,",",us,",",origin,phase-data,",53,0.895,0.950,82.000,mb,earthquake,"M 4.4 - 12 km E of Ekin├╢z├╝, Turkey"
us6000jm1w,4.4,"11 km WSW of G├╢ksun, Turkey",1675710947703,1675722795040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm1w,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm1w.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jm1w,",us6000jm1w,",",us,",",origin,phase-data,",34,0.975,0.930,79.000,mb,earthquake,"M 4.4 - 11 km WSW of G├╢ksun, Turkey"
us6000jm1p,5.2,"6 km SW of G├╢ksun, Turkey",1675706633837,1675983621389,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm1p,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm1p.geojson,2,5.800000000000000,0.000000000000000,,reviewed,0,417,us,6000jm1p,",us6000jm1p,",",us,",",dyfi,moment-tensor,origin,phase-data,",112,0.989,0.770,20.000,mww,earthquake,"M 5.2 - 6 km SW of G├╢ksun, Turkey"
us6000jm1n,4.4,"8 km N of G├╢ksun, Turkey",1675706564519,1675721878040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm1n,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm1n.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,298,us,6000jm1n,",us6000jm1n,",",us,",",origin,phase-data,",39,0.900,0.640,72.000,mb,earthquake,"M 4.4 - 8 km N of G├╢ksun, Turkey"
us6000jm13,4.5,"1 km WNW of Dogansehir, Turkey",1675705609973,1675721727040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jm13,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jm13.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jm13,",us6000jm13,",",us,",",origin,phase-data,",51,1.050,1.090,83.000,mb,earthquake,"M 4.5 - 1 km WNW of Dogansehir, Turkey"
us6000jly1,4.5,"17 km WNW of Musabeyli, Turkey",1675704693226,1675720885040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000jly1,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/us6000jly1.geojson,0,0.000000000000000,0.000000000000000,,reviewed,0,312,us,6000jly1,",us6000jly1,",",us,",",origin,phase-data,",56,0.422,1.240,86.000,mb,earthquake,"M 4.5 - 17 km WNW of Musabeyli, Turkey"
